X-acc;Y-acc;Z-acc;label
-57;7;4154;idle
-61;9;4147;idle
-58;29;4153;idle
-61;14;4156;idle
-45;11;4153;idle
-67;15;4155;idle
-61;13;4161;idle
-68;13;4158;idle
-59;13;4154;idle
-53;21;4153;idle
-44;16;4150;idle
-57;19;4151;idle
-56;15;4156;idle
-60;13;4148;idle
-57;12;4151;idle
-54;15;4152;idle
-58;13;4151;idle
-57;21;4154;idle
-71;7;4155;idle
-63;9;4162;idle
-62;6;4155;idle
-64;16;4151;idle
-58;8;4155;idle
-57;14;4151;idle
-55;17;4155;idle
-59;8;4153;idle
-55;14;4154;idle
-55;19;4152;idle
-52;16;4152;idle
-58;3;4149;idle
-68;11;4151;idle
-63;16;4143;idle
-56;15;4152;idle
-49;8;4154;idle
-62;17;4158;idle
-74;21;4152;idle
-55;5;4152;idle
-60;12;4151;idle
-53;21;4151;idle
-70;10;4156;idle
-61;16;4154;idle
-61;4;4153;idle
-62;15;4159;idle
-53;10;4151;idle
-45;5;4150;idle
-53;12;4161;idle
-58;20;4161;idle
-59;17;4148;idle
-55;18;4153;idle
-67;12;4153;idle
-66;11;4153;idle
-56;12;4154;idle
-60;5;4155;idle
-65;12;4161;idle
-63;12;4160;idle
-53;18;4160;idle
-57;18;4156;idle
-53;10;4156;idle
-53;17;4149;idle
-61;10;4155;idle
-58;12;4154;idle
-61;12;4154;idle
-59;12;4157;idle
-54;23;4149;idle
-57;18;4149;idle
-54;9;4150;idle
-62;10;4150;idle
-59;17;4153;idle
-57;18;4152;idle
-57;14;4150;idle
-52;20;4149;idle
-55;19;4149;idle
-59;10;4147;idle
-52;11;4151;idle
-58;16;4153;idle
-49;22;4146;idle
-61;21;4164;idle
-58;17;4156;idle
-58;16;4148;idle
-58;12;4152;idle
-48;7;4152;idle
-55;3;4145;idle
-47;16;4155;idle
-54;10;4148;idle
-61;24;4150;idle
-58;15;4151;idle
-68;8;4150;idle
-50;12;4150;idle
-43;11;4151;idle
-52;23;4154;idle
-68;22;4151;idle
-63;11;4150;idle
-51;21;4158;idle
-49;12;4153;idle
-63;12;4153;idle
-64;9;4141;idle
-55;16;4148;idle
-57;18;4148;idle
-56;16;4158;idle
-61;13;4158;idle
X-acc;Y-acc;Z-acc;label
-54;9;4152;idle
-56;13;4152;idle
-54;15;4147;idle
-52;19;4153;idle
-53;19;4155;idle
-67;17;4157;idle
-72;14;4152;idle
-59;15;4157;idle
-57;10;4155;idle
-48;14;4157;idle
-55;11;4151;idle
-59;17;4159;idle
-52;14;4150;idle
-59;14;4149;idle
-49;13;4158;idle
-65;17;4147;idle
-56;13;4158;idle
-63;19;4150;idle
-69;15;4147;idle
-55;12;4152;idle
-65;14;4151;idle
-55;5;4157;idle
-57;12;4150;idle
-60;14;4156;idle
-63;9;4155;idle
-61;13;4154;idle
-64;18;4154;idle
-54;15;4147;idle
-63;12;4147;idle
-73;18;4149;idle
-55;9;4151;idle
-64;8;4154;idle
-60;10;4158;idle
-65;4;4152;idle
-61;11;4147;idle
-66;18;4151;idle
-58;14;4155;idle
-55;18;4157;idle
-62;5;4157;idle
-50;8;4153;idle
-60;14;4157;idle
-58;15;4152;idle
-56;20;4158;idle
-54;19;4154;idle
-60;17;4156;idle
-53;20;4151;idle
-56;12;4155;idle
-64;9;4152;idle
-57;27;4151;idle
-59;22;4149;idle
-55;14;4153;idle
-55;9;4145;idle
-55;10;4155;idle
-59;14;4149;idle
-49;9;4146;idle
-54;14;4156;idle
-56;4;4155;idle
-56;11;4157;idle
-44;18;4148;idle
-51;14;4153;idle
-58;12;4150;idle
-51;14;4156;idle
-63;15;4157;idle
-59;15;4159;idle
-66;17;4151;idle
-52;14;4158;idle
-56;16;4145;idle
-54;15;4157;idle
-64;17;4153;idle
-64;17;4157;idle
-61;13;4150;idle
-48;22;4153;idle
-55;16;4145;idle
-68;17;4157;idle
-57;18;4148;idle
-60;11;4154;idle
-61;12;4153;idle
-69;17;4151;idle
-68;21;4152;idle
-57;13;4164;idle
-71;9;4154;idle
-51;19;4165;idle
-56;15;4154;idle
-54;14;4150;idle
-65;11;4147;idle
-60;12;4157;idle
-61;19;4152;idle
-64;13;4152;idle
-55;11;4163;idle
-55;17;4150;idle
-57;12;4152;idle
-62;6;4150;idle
-61;16;4150;idle
-58;7;4156;idle
-54;14;4155;idle
-58;15;4153;idle
-63;18;4152;idle
-59;11;4149;idle
-60;17;4155;idle
-62;15;4156;idle
X-acc;Y-acc;Z-acc;label
-55;10;4156;idle
-59;10;4153;idle
-63;-1;4142;idle
-60;12;4157;idle
-55;10;4152;idle
-63;12;4155;idle
-58;16;4159;idle
-58;21;4162;idle
-57;13;4149;idle
-61;11;4158;idle
-65;10;4150;idle
-62;8;4149;idle
-52;16;4158;idle
-59;4;4154;idle
-59;5;4156;idle
-58;16;4146;idle
-59;14;4151;idle
-55;9;4153;idle
-65;22;4153;idle
-59;17;4154;idle
-59;10;4163;idle
-62;15;4159;idle
-54;12;4157;idle
-55;16;4154;idle
-53;7;4153;idle
-62;9;4149;idle
-58;12;4161;idle
-54;18;4149;idle
-51;18;4153;idle
-52;12;4157;idle
-54;14;4158;idle
-48;7;4152;idle
-55;20;4156;idle
-62;12;4157;idle
-67;9;4150;idle
-58;19;4150;idle
-57;10;4157;idle
-54;14;4158;idle
-57;14;4158;idle
-66;11;4158;idle
-46;21;4150;idle
-62;5;4157;idle
-56;18;4150;idle
-70;10;4153;idle
-57;15;4156;idle
-48;14;4153;idle
-61;3;4155;idle
-54;11;4150;idle
-55;15;4155;idle
-55;23;4149;idle
-49;15;4157;idle
-59;25;4144;idle
-54;17;4155;idle
-59;24;4147;idle
-67;15;4154;idle
-58;11;4154;idle
-64;14;4156;idle
-56;13;4156;idle
-59;17;4163;idle
-57;10;4151;idle
-62;17;4153;idle
-59;17;4152;idle
-62;6;4155;idle
-57;18;4154;idle
-62;12;4152;idle
-58;12;4151;idle
-53;16;4161;idle
-61;11;4159;idle
-48;13;4157;idle
-55;8;4155;idle
-55;10;4153;idle
-54;14;4150;idle
-48;18;4163;idle
-61;17;4149;idle
-43;15;4158;idle
-62;11;4155;idle
-65;12;4145;idle
-67;22;4153;idle
-62;16;4152;idle
-57;10;4152;idle
-63;19;4156;idle
-69;15;4145;idle
-53;13;4154;idle
-59;18;4159;idle
-64;9;4162;idle
-60;21;4156;idle
-61;14;4159;idle
-54;13;4149;idle
-61;12;4160;idle
-60;16;4160;idle
-62;13;4156;idle
-70;11;4149;idle
-63;17;4158;idle
-64;15;4149;idle
-51;11;4156;idle
-70;8;4154;idle
-62;10;4153;idle
-51;13;4157;idle
-53;16;4158;idle
-54;12;4149;idle
X-acc;Y-acc;Z-acc;label
-61;16;4162;idle
-62;11;4156;idle
-68;10;4151;idle
-66;13;4158;idle
-61;14;4156;idle
-54;15;4147;idle
-63;15;4151;idle
-55;18;4160;idle
-63;9;4151;idle
-57;7;4146;idle
-63;18;4151;idle
-65;16;4161;idle
-56;9;4160;idle
-65;9;4144;idle
-58;22;4149;idle
-61;20;4155;idle
-53;14;4157;idle
-59;13;4150;idle
-61;18;4155;idle
-54;15;4157;idle
-54;22;4151;idle
-55;8;4163;idle
-54;12;4158;idle
-56;19;4152;idle
-58;5;4157;idle
-50;12;4157;idle
-57;21;4153;idle
-54;14;4161;idle
-59;16;4144;idle
-61;7;4159;idle
-54;12;4164;idle
-63;4;4157;idle
-64;18;4152;idle
-58;18;4164;idle
-63;20;4155;idle
-66;8;4155;idle
-57;10;4149;idle
-64;9;4152;idle
-52;14;4152;idle
-57;15;4155;idle
-63;16;4157;idle
-62;12;4155;idle
-66;4;4156;idle
-63;8;4147;idle
-48;1;4164;idle
-55;10;4147;idle
-55;22;4145;idle
-58;19;4180;idle
-62;22;4157;idle
-71;12;4154;idle
-66;-3;4153;idle
-61;10;4151;idle
-54;30;4149;idle
-53;20;4158;idle
-57;22;4153;idle
-65;14;4158;idle
-55;4;4154;idle
-62;1;4154;idle
-48;13;4156;idle
-66;15;4156;idle
-51;22;4161;idle
-49;18;4152;idle
-67;9;4150;idle
-62;9;4156;idle
-68;4;4154;idle
-56;12;4157;idle
-55;26;4156;idle
-57;19;4164;idle
-62;12;4157;idle
-63;9;4153;idle
-63;6;4156;idle
-63;10;4151;idle
-56;11;4152;idle
-58;14;4161;idle
-58;12;4155;idle
-63;12;4149;idle
-69;6;4146;idle
-66;11;4149;idle
-70;18;4152;idle
-65;9;4152;idle
-54;23;4148;idle
-54;19;4154;idle
-52;8;4153;idle
-66;3;4157;idle
-53;10;4153;idle
-51;15;4156;idle
-57;17;4153;idle
-63;13;4146;idle
-51;7;4155;idle
-65;16;4147;idle
-61;16;4152;idle
-53;15;4151;idle
-51;8;4153;idle
-57;19;4151;idle
-58;20;4158;idle
-54;10;4153;idle
-57;10;4154;idle
-51;10;4152;idle
-57;8;4154;idle
-55;5;4152;idle
X-acc;Y-acc;Z-acc;label
-59;8;4156;idle
-57;15;4153;idle
-56;9;4155;idle
-61;11;4149;idle
-56;13;4155;idle
-55;18;4155;idle
-56;23;4158;idle
-59;19;4160;idle
-61;10;4154;idle
-61;12;4160;idle
-53;10;4155;idle
-58;10;4150;idle
-60;11;4156;idle
-53;18;4157;idle
-59;7;4157;idle
-50;11;4157;idle
-68;9;4154;idle
-54;16;4149;idle
-52;15;4156;idle
-60;12;4156;idle
-58;16;4156;idle
-60;8;4161;idle
-60;16;4161;idle
-62;2;4158;idle
-37;63;4030;idle
